id,user_message,store_label,memory_category,importance_score,memory_text,rationale,source_file
tc_086,I'm testing a new budgeting app this month.,1,temporary_context,2,User is testing a budgeting app this month.,Temporary experiment.,temporary1.csv
sp_007,I usually drink green tea every morning.,1,stable_preference_goal,4,User prefers green tea.,Stable food or drink preference.,preference1.csv
sp_027,Reading mystery novels is one of my favorite hobbies.,1,stable_preference_goal,4,User enjoys reading mystery novels.,Stable hobby or interest.,preference1.csv
sp_197,I like spending weekends at flea markets.,1,stable_preference_goal,4,User enjoys flea markets.,Interest.,preference2.csv
rc_151,I typically host game night on the first Saturday of the month.,1,useful_recurring_context,3,User hosts game night on the first Saturday of each month.,Recurring social activity.,recurrent2.csv
tc_125,I'm preparing for my driver's test.,1,temporary_context,2,User is preparing for a driver's test.,Temporary goal.,temporary2.csv
sp_139,I want to get into bird photography.,1,stable_preference_goal,4,User's goal is to get into bird photography.,Goal.,preference2.csv
rc_047,I have family dinner every Sunday.,1,useful_recurring_context,3,User has family dinner every Sunday.,Recurring family activity.,recurrent1.csv
rc_061,I usually bring lunch to work.,1,useful_recurring_context,3,User usually brings lunch to work.,Recurring habit.,recurrent1.csv
cc_100,I need restaurants with clear allergen menus because I have multiple severe food allergies.,1,critical_constraint,5,User has multiple severe food allergies and needs restaurants with clear allergen menus.,Safety-critical food constraint affects restaurant recommendations.,constraints1.csv
dns_080,I have laundry to fold tonight.,0,do_not_store,1,,Immediate task.,nostore1.csv
tc_142,I'm watching my spending until payday.,1,temporary_context,2,User is limiting spending until payday.,Temporary financial context.,temporary2.csv
cc_006,"I have epilepsy, so please avoid suggesting activities with flashing lights.",1,critical_constraint,5,User has epilepsy and should avoid activities with flashing lights.,Safety-critical medical constraint.,constraints1.csv
sp_023,I prefer salty snacks over sweet ones.,1,stable_preference_goal,4,User prefers salty snacks.,Stable food or drink preference.,preference1.csv
cc_132,I have a severe avocado allergy.,1,critical_constraint,5,User has a severe avocado allergy.,Food allergy.,constraints2.csv
rc_011,I always study best in the evening.,1,useful_recurring_context,3,User studies best in the evening.,Recurring work preference.,recurrent1.csv
cc_071,I need fragrance-free products because scented products trigger my migraines.,1,critical_constraint,5,User needs fragrance-free products because scented products trigger migraines.,Health trigger affects product recommendations.,constraints1.csv
dns_199,That joke made me laugh.,0,do_not_store,1,,Passing reaction.,nostore2.csv
dns_071,I had to restart my computer.,0,do_not_store,1,,Resolved event.,nostore1.csv
cc_155,I cannot wear wool because I'm allergic.,1,critical_constraint,5,User has a wool allergy.,Allergy.,constraints2.csv
dns_182,I misplaced my notebook.,0,do_not_store,1,,Temporary issue.,nostore2.csv
dns_139,I just opened my email.,0,do_not_store,1,,Current activity.,nostore2.csv
cc_158,I need to avoid dusty hiking trails.,1,critical_constraint,5,User should avoid dusty hiking trails.,Health.,constraints2.csv
rc_103,I normally grocery shop on Wednesday nights.,1,useful_recurring_context,3,User usually grocery shops on Wednesday nights.,Recurring routine.,recurrent2.csv
rc_179,I usually back up my phone every month.,1,useful_recurring_context,3,User backs up phone monthly.,Recurring digital maintenance.,recurrent2.csv
sp_006,Italian food is my comfort food.,1,stable_preference_goal,4,User enjoys Italian food.,Stable food or drink preference.,preference1.csv
sp_120,I prefer beaches over cities for vacations.,1,stable_preference_goal,4,User prefers beach vacations.,Travel preference.,preference2.csv
tc_029,I'm staying off social media this week.,1,temporary_context,2,User is avoiding social media this week.,Temporary goal.,temporary1.csv
